datacqtr,FiscalYear,FiscalQuarter,revtq
1971Q1,1971,1,12.758
1971Q2,1971,2,18.207
1971Q3,1971,3,19.205
1971Q4,1971,4,27.844
1972Q1,1972,1,21.011
1972Q2,1972,2,29.918
1972Q3,1972,3,32.683
1972Q4,1972,4,41.277
1973Q1,1973,1,32.737
1973Q2,1973,2,37.655
1973Q3,1973,3,42.098
1973Q4,1973,4,55.071
1974Q1,1974,1,46.355
1974Q2,1974,2,56.177
1974Q3,1974,3,59.462
1974Q4,1974,4,74.215
1975Q1,1975,1,64.65
1975Q2,1975,2,78.852
1975Q3,1975,3,86.108
1975Q4,1975,4,110.721
1976Q1,1976,1,93.971
1976Q2,1976,2,115.186
1976Q3,1976,3,121.875
1976Q4,1976,4,147.775
1977Q1,1977,1,122.655
1977Q2,1977,2,152.381
1977Q3,1977,3,172.637
1977Q4,1977,4,230.783
1978Q1,1978,1,167.274
1978Q2,1978,2,204.085
1978Q3,1978,3,221.982
1978Q4,1978,4,306.957
1979Q1,1979,1,238.569
1979Q2,1979,2,291.685
1979Q3,1979,3,300.747
1979Q4,1979,4,417.175
1980Q1,1980,1,314.575
1980Q2,1980,2,372.598
1980Q3,1980,3,401.842
1980Q4,1980,4,554.184
1981Q1,1981,1,434.251
1981Q2,1981,2,533.653
1981Q3,1981,3,634.476
1981Q4,1981,4,842.617
1982Q1,1982,1,665.229
1982Q2,1982,2,788.705
1982Q3,1982,3,827.767
1982Q4,1982,4,1094.551
1983Q1,1983,1,854.734
1983Q2,1983,2,1098.942
1983Q3,1983,3,1166.594
1983Q4,1983,4,1546.639
1984Q1,1984,1,1234.768
1984Q2,1984,2,1508.533
1984Q3,1984,3,1583.573
1984Q4,1984,4,2073.983
1985Q1,1985,1,1655.661
1985Q2,1985,2,1934.358
1985Q3,1985,3,2087.533
1985Q4,1985,4,2773.936
1986Q1,1986,1,2344.253
1986Q2,1986,2,2770.276
1986Q3,1986,3,2949.008
1986Q4,1986,4,3845.557
1987Q1,1987,1,3211.761
1987Q2,1987,2,3732.237
1987Q3,1987,3,4015.017
1987Q4,1987,4,5000.238
1988Q1,1988,1,4282.012
1988Q2,1988,2,4845.133
1988Q3,1988,3,4991.113
1988Q4,1988,4,6530.734
1989Q1,1989,1,5373.258
1989Q2,1989,2,6046.41
1989Q3,1989,3,6283.496
1989Q4,1989,4,8107.484
1990Q1,1990,1,6768.191
1990Q2,1990,2,7543.508
1990Q3,1990,3,7930.949
1990Q4,1990,4,10358.898
1991Q1,1991,1,9280.566
1991Q2,1991,2,10339.898
1991Q3,1991,3,10627.5
1991Q4,1991,4,13638.797
1992Q1,1992,1,11649.398
1992Q2,1992,2,13028.398
1992Q3,1992,3,13683.797
1992Q4,1992,4,17122
1993Q1,1993,1,13920.398
1993Q2,1993,2,16236.5
1993Q3,1993,3,16826.898
1993Q4,1993,4,20360.5
1994Q1,1994,1,17686.098
1994Q2,1994,2,19942.297
1994Q3,1994,3,20417.699
1994Q4,1994,4,24447.797
1995Q1,1995,1,20440
1995Q2,1995,2,22723
1995Q3,1995,3,22914
1995Q4,1995,4,27550
1996Q1,1996,1,22772
1996Q2,1996,2,25587
1996Q3,1996,3,25644
1996Q4,1996,4,30856
1997Q1,1997,1,25409
1997Q2,1997,2,28386
1997Q3,1997,3,28777
1997Q4,1997,4,35386
1998Q1,1998,1,29819
1998Q2,1998,2,33521
1998Q3,1998,3,33509
1998Q4,1998,4,40785
1999Q1,1999,1,35129
1999Q2,1999,2,38913
1999Q3,1999,3,40899
1999Q4,1999,4,51868
2000Q1,2000,1,43447
2000Q2,2000,2,46588
2000Q3,2000,3,46181
2000Q4,2000,4,57079
2001Q1,2001,1,48565
2001Q2,2001,2,53187
2001Q3,2001,3,53185
2001Q4,2001,4,64735
2002Q1,2002,1,52126
2002Q2,2002,2,56781
2002Q3,2002,3,55765
2002Q4,2002,4,66905
2003Q1,2003,1,57224
2003Q2,2003,2,63231
2003Q3,2003,3,63036
2003Q4,2003,4,75190
2004Q1,2004,1,65434
2004Q2,2004,2,70516
2004Q3,2004,3,69282
2004Q4,2004,4,82900
2005Q1,2005,1,70755
2005Q2,2005,2,76697
2005Q3,2005,3,75397
2005Q4,2005,4,89252
2006Q1,2006,1,79675
2006Q2,2006,2,85430
2006Q3,2006,3,84467
2006Q4,2006,4,99078
2007Q1,2007,1,86378
2007Q2,2007,2,92827
2007Q3,2007,3,91794
2007Q4,2007,4,107289
2008Q1,2008,1,94940
2008Q2,2008,2,102342
2008Q3,2008,3,98345
2008Q4,2008,4,108747
2009Q1,2009,1,94214
2009Q2,2009,2,100876
2009Q3,2009,3,99373
2009Q4,2009,4,113622
2010Q1,2010,1,99811
2010Q2,2010,2,103726
2010Q3,2010,3,101952
2010Q4,2010,4,116360
2011Q1,2011,1,104189
2011Q2,2011,2,109366
2011Q3,2011,3,110226
2011Q4,2011,4,123169
2012Q1,2012,1,113010
2012Q2,2012,2,114065
2012Q3,2012,3,113800
2012Q4,2012,4,127776
2013Q1,2013,1,114070
2013Q2,2013,2,116830
2013Q3,2013,3,115688
2013Q4,2013,4,129706
2014Q1,2014,1,114960
2014Q2,2014,2,120125
2014Q3,2014,3,119001
2014Q4,2014,4,131565
2015Q1,2015,1,114826
2015Q2,2015,2,120229
2015Q3,2015,3,117408
2015Q4,2015,4,129667
2016Q1,2016,1,115904
2016Q2,2016,2,120319
2016Q3,2016,3,118179
2016Q4,2016,4,130936
2017Q1,2017,1,117542
2017Q2,2017,2,122968
2017Q3,2017,3,123179
2017Q4,2017,4,136267
2018Q1,2018,1,122690
2018Q2,2018,2,128028
2018Q3,2018,3,124894
2018Q4,2018,4,138793
2019Q1,2019,1,123925
2019Q2,2019,2,130377
2019Q3,2019,3,127991
2019Q4,2019,4,141671
2020Q1,2020,1,134622
2020Q2,2020,2,137742
2020Q3,2020,3,134708
2020Q4,2020,4,152079
2021Q1,2021,1,138310
2021Q2,2021,2,141048
2021Q3,2021,3,140525
2021Q4,2021,4,152871
2022Q1,2022,1,141569
2022Q2,2022,2,152859
2022Q3,2022,3,152813
2022Q4,2022,4,164048
2023Q1,2023,1,152301
2023Q2,2023,2,161632
2023Q3,2023,3,160804
2023Q4,2023,4,173388
2024Q1,2024,1,161508
2024Q2,2024,2,169335
2024Q3,2024,3,169588
2024Q4,2024,4,180554